Month,Propane ($AU/Tonne)
19-Dec,644.1
19-Nov,632.7
19-Oct,616.9
19-Sep,516.8
19-Aug,529.2
19-Jul,540
19-Jun,619
19-May,737.6
19-Apr,727
19-Mar,686
19-Feb,616.5
19-Jan,598
18-Dec,614
18-Nov,760.4
18-Oct,908.4
18-Sep,819.2
18-Aug,783.5
18-Jul,740.3
18-Jun,743.7
18-May,650.4
18-Apr,612
18-Mar,608.9
18-Feb,661
18-Jan,771.5
17-Dec,773.3
17-Nov,738.1
17-Oct,721.3
17-Sep,606.4
17-Aug,539.2
17-Jul,457.1
17-Jun,518.4
17-May,510.3
17-Apr,564.6
17-Mar,625.7
17-Feb,684.8
17-Jan,592.1
16-Dec,504.4
16-Nov,512.3
16-Oct,447.8
16-Sep,386.4
16-Aug,378.9
16-Jul,399.4
16-Jun,450.4
16-May,424
16-Apr,427.4
16-Feb,404.4
16-Jan,476
15-Dec,642.9
15-Nov,548.5
15-Oct,510.2
15-Sep,431.7
15-Aug,491.3
15-Jul,511.4
15-Jun,512.6
15-May,602.2
15-Apr,594.7
15-Mar,641.6
15-Feb,556.2
15-Jan,515.7
14-Dec,636.2
14-Nov,694.8
14-Oct,811.8
14-Sep,800.6
14-Aug,830.7
14-Jul,874.8
14-Jun,897
14-May,869.3
14-Apr,849
14-Mar,954.9
14-Feb,1094
14-Jan,1125
13-Dec,1178
13-Nov,919.2
13-Oct,884.4
13-Sep,940.3
13-Aug,894
13-Jul,842
13-Jun,750
13-May,708
13-Apr,764
13-Mar,867
13-Feb,867
13-Jan,913
12-Dec,971
12-Nov,1019
12-Oct,985
12-Sep,926
12-Aug,753
12-Jul,576
12-Jun,680
12-May,783
12-Apr,939
12-Mar,1147
12-Feb,972
12-Jan,840
11-Dec,762
11-Nov,740
11-Oct,716
11-Sep,753
11-Aug,776
11-Jul,769
11-Jun,800
11-May,895
11-Apr,866
11-Mar,813
11-Feb,825
11-Jan,944
10-Dec,913
10-Nov,785
10-Oct,727
10-Sep,700
10-Aug,658
10-Jul,721
10-Jun,767
10-May,783
10-Apr,795
10-Mar,824
10-Feb,803
10-Jan,820
9-Dec,782
9-Nov,726
9-Oct,668
9-Sep,677
9-Aug,609
9-Jul,623
9-Jun,518
9-May,533
9-Apr,594
9-Mar,724
9-Feb,745
9-Jan,569
8-Dec,518
8-Nov,706
8-Oct,962
8-Sep,905
8-Aug,893
8-Jul,952
8-Jun,943
8-May,909
8-Apr,869
8-Mar,899
8-Feb,908
8-Jan,997
7-Dec,959
7-Nov,812
7-Oct,757
7-Sep,675
7-Aug,669
7-Jul,684
7-Jun,718
7-May,677
7-Apr,669
7-Mar,647
7-Feb,671
7-Jan,694
6-Dec,624
6-Nov,597
6-Oct,635
6-Sep,738
6-Aug,728
6-Jul,678
6-Jun,616
6-May,640
6-Apr,598
6-Mar,714
6-Feb,830
6-Jan,774
5-Dec,712
5-Nov,711
5-Oct,660
5-Sep,558
5-Aug,532
5-Jul,519
5-Jun,513
5-May,544
5-Apr,528
5-Mar,482.838
5-Feb,476.004
5-Jan,475
4-Dec,542
4-Nov,632
4-Oct,567
4-Sep,539
4-Aug,479
4-Jul,453
4-Jun,479
4-May,427
4-Apr,387
4-Mar,341
4-Feb,429
4-Jan,434
3-Dec,433
3-Nov,404
3-Oct,393
3-Sep,427
3-Aug,415
3-Jul,414
3-Jun,383
3-May,378
3-Apr,540
3-Mar,648
3-Feb,644
3-Jan,607
2-Dec,583
2-Nov,594
2-Oct,539
2-Sep,480
2-Aug,424
2-Jul,395
2-Jun,410
2-May,429
2-Apr,410
2-Mar,419
2-Feb,426
2-Jan,441
1-Dec,406
1-Nov,465
1-Oct,473
1-Sep,438
1-Aug,471
1-Jul,522
1-Jun,548
1-May,550
1-Apr,544
1-Mar,617
1-Feb,629
