year,japan,jkm,germany,nbp,ttf,henryhub,canada_alberta
1988,3.34,,2.22,,,,
1989,3.28,,2,,,1.7,
1990,3.64,,2.78,,,1.64,1.05
1991,3.99,,3.23,,,1.49,0.89
1992,3.62,,2.7,,,1.77,0.98
1993,3.52,,2.51,,,2.12,1.69
1994,3.18,,2.35,,,1.92,1.45
1995,3.46,,2.43,,,1.69,0.89
1996,3.66,,2.5,1.87,,2.76,1.12
1997,3.91,,2.66,1.96,,2.53,1.36
1998,3.05,,2.33,1.86,,2.08,1.42
1999,3.14,,1.86,1.58,,2.27,2
2000,4.72,,2.91,2.71,,4.23,3.75
2001,4.64,,3.67,3.17,,4.07,3.61
2002,4.27,,3.21,2.37,,3.33,2.57
2003,4.77,,4.06,3.33,,5.63,4.83
2004,5.18,,4.3,4.46,,5.85,5.03
2005,6.05,,5.83,7.38,6.07,8.79,7.25
2006,7.14,,7.87,7.87,7.46,6.76,5.83
2007,7.73,,7.99,6.01,5.93,6.95,6.17
2008,12.55,,11.6,10.79,10.66,8.85,7.99
2009,9.06,5.28,8.53,4.85,4.96,3.89,3.38
2010,10.91,7.72,8.03,6.56,6.77,4.39,3.69
2011,14.73,14.02,10.49,9.04,9.26,4.01,3.47
2012,16.75,15.12,10.93,9.46,9.45,2.76,2.27
2013,16.17,16.56,10.73,10.64,9.75,3.71,2.93
2014,16.33,13.86,9.11,8.25,8.14,4.35,3.87
2015,10.31,7.45,6.72,6.53,6.44,2.6,2.01
2016,6.94,5.72,4.93,4.69,4.54,2.46,1.55
2017,8.1,7.13,5.62,5.8,5.72,2.96,1.6
2018,10.05,9.76,6.62,8.06,7.9,3.13,1.12
